areaid,title,genres
0,서울공연예술연습공간,서울특별시
1,아르코예술기록원,서울특별시
2,청주공연예술연습공간,충청북도
3,아르코예술인력개발원,경기도
4,전주공연예술연습공간,전라북도
5,춘천공연예술연습공간,강원도
6,세종공연예술연습공간,세종특별자치시
7,창원공연예술연습공간,경상남도
8,강진공연예술연습공간,전라남도
9,금정공연예술연습공간,부산광역시
10,서천공연예술연습공간,충청남도
11,부산공연예술연습공간,부산광역시
12,광주공연예술연습공간,광주광역시
13,부천공연예술연습공간,경기도
14,인천공연예술연습공간,인천광역시
15,울산공연예술연습공간,울산광역시
16,예술가의집,서울특별시
17,대구공연예술연습공간,대구광역시
18,포항공연예술연습공간,경상북도
19,원주공연예술연습공간,강원도
20,예울마루,전라남도
21,고흥문화회관,전라남도
22,영광예술의전당,전라남도
23,남도소리울림터,전라남도
24,강진군아트홀,전라남도
25,곡성레저문화센터,전라남도
26,광양문화예술회관,전라남도
27,구례문화예술회관,전라남도
28,나주문화예술회관,전라남도
29,담양문화회관,전라남도
30,장성문화예술회관,전라남도
31,목포시문화예술회관,전라남도
32,무안승달문화예술회관,전라남도
33,보성군문화예술회관,전라남도
34,순천문화예술회관,전라남도
35,여수시민회관,전라남도
36,완도문화예술의전당,전라남도
37,장흥문화예술회관,전라남도
38,진도향토문화회관,전라남도
39,해남문화예술회관,전라남도
40,밀양 누루(樓樓) 미술관,경상남도
41,우리미술관,인천광역시
42,소금나루 작은미술관,울산광역시
43,바래길 작은미술관,경상남도
44,장생포고래로131 작은미술관,울산광역시
45,작은미술관 보구곶,경기도
46,서동 작은미술관,부산광역시
47,아트터미널 작은미술관,강원도
48,악양 작은미술관,경상남도
49,노인과 둔장바다 작은미술관,전라남도
50,기억을 모으는 미술관 ART-TEA,강원도
51,BRT 작은미술관,세종특별자치시
52,정라항 그리go 작은미술관 4048,강원도
53,정라항 그리go 작은미술관 5223,강원도
54,정라항 그리go 작은미술관 5219,강원도
55,정라항 그리go 작은미술관 1116,강원도
56,봉평콧등작은미술관,강원도
